নান্দাইল  7
বোয়ালখালী  1
ত্রিশাল  7
বানারীপাড়া 13
তানোর 11
পাইকগাছা  9
কাউনিয়া  5
ধোবাউড়া 12
হিজলা 13
দোহার 14
গৌরনদী 13
কুলাউড়া 10
মেহেন্দিগঞ্জ 13
হালুয়াঘাট 12
বাঘা 11
গৌরীপুর  7
কমলগঞ্জ 10
মুলাদী 13
বরিশাল  8
চারঘাট 11
পটিয়া  1
ঈশ্বরগঞ্জ  7
রাঙ্গুনিয়া  1
মীরসরাই  4
তারাকান্দা  7
দাকোপ  9
ফুলপুর  7
ডুমুরিয়া  6
লোহাগাড়া  1
নবাবগঞ্জ 14
হাটহাজারী  4
জুড়ী 10
তারাগঞ্জ  2
ধামরাই 14
বাকেরগঞ্জ 13
রূপসা  9
কয়রা  6
বটিয়াঘাটা  6
মুক্তাগাছা  7
রংপুর  8
পবা 11
মোহনপুর 11
মৌলভীবাজার 10
রাজনগর 10
ফুলবাড়িয়া 12
পুঠিয়া  5
দিঘলিয়া  6
ফুলতলা  9
বড়লেখা 10
আগৈলঝাড়া 13
বোয়ালিয়া  5
রাজশাহী  8
বাবুগঞ্জ 13
পীরগঞ্জ  2
পীরগাছা  2
বাগমারা 11
কেরানীগঞ্জ 14
ফটিকছড়ি  1
তেরখাদা  9
বদরগঞ্জ  2
ময়মনসিংহ 12
সাতকানিয়া  1
সাভার 14
রাউজান  4
ভালুকা  7
বাঁশখালী  4
শ্রীমঙ্গল 10
উজিরপুর 13
সীতাকুন্ড  4
সন্দ্বীপ  4
দূর্গাপুর  3
আনোয়ারা  1
গফরগাঁও  7
মিঠাপুকুর  2
